Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,SD,Polymer_BRICS,Solvent_BRICS,PS_pair_BRICS,PS_tokenized_BRICS,SP_tokenized_BRICS
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Ethanol,CCO,3.17,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCO']",['CCO'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCO']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 27]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Ethanol,CCO,6.3,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCO']",['CCO'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCO']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 27]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Ethanol,CCO,1.25,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCO']",['CCO'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCO']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 27]",
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Methanol,CO,2.57,"['CCC', 'CC[Si](C)(C)C', '.', 'CO']",['CO'],"['CCC', 'CC[Si](C)(C)C', '.', 'CO']","[0, 0, 0, 0, 0, 0, 0, 15, 21, 1, 10]",
PDMS,C[Si](C)(C)OC,Methanol,CO,0.4,"['CO[Si](C)(C)C', '.', 'CO']",['CO'],"['CO[Si](C)(C)C', '.', 'CO']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 10]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Methanol,CO,11.47,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CO']",['CO'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CO']","[0, 0, 0, 4, 5, 5, 6, 7, 8, 1, 10]",
PAN,CCC(C)C#N,Methanol,CO,2.91,"['CCC(C)C#N', '.', 'CO']",['CO'],"['CCC(C)C#N', '.', 'CO']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 10]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Methanol,CO,3.29,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CO']",['CO'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CO']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 10]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Methanol,CO,2.63,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CO']",['CO'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CO']","[0, 0, 0, 10, 12, 4, 13, 14, 15, 1, 10]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Methanol,CO,2.5,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CO']",['CO'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CO']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 10]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Methanol,CO,8.01,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CO']",['CO'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CO']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 10]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Methanol,CO,2.28,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CO']",['CO'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CO']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 10]",
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Water,O,0.03,"['CCC', 'CC[Si](C)(C)C', '.', 'O']",['O'],"['CCC', 'CC[Si](C)(C)C', '.', 'O']","[0, 0, 0, 0, 0, 0, 0, 15, 21, 1, 4]",
PDMS,C[Si](C)(C)OC,Water,O,0.86,"['CO[Si](C)(C)C', '.', 'O']",['O'],"['CO[Si](C)(C)C', '.', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Water,O,0.3,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'O']",['O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'O']","[0, 0, 0, 4, 5, 5, 6, 7, 8, 1, 4]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Water,O,0.56,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'O']",['O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'O']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 4]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Water,O,0.96,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'O']",['O'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'O']","[0, 0, 0, 10, 12, 4, 13, 14, 15, 1, 4]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Water,O,1.74,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'O']",['O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'O']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 4]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Water,O,0.99,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'O']",['O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'O']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 4]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Water,O,0.2,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'O']",['O'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'O']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 4]",
